order_id,account_id,device_id,address_id,phone_hash,instrument_id,amount,discount_amount,coupon_code,category,order_timestamp,delivery_status,delivery_attempts,delivery_timestamp,rto_flag,return_flag,return_reason_code,return_timestamp,return_lag_hours,refund_flag,refund_amount,refund_timestamp,dispute_flag,dispute_created_at,dispute_phase,dispute_reason_code,dispute_reason_category,evidence_availability
ORD0000000,A000000,D017127,ADDR012696,2a35f338da296742,PI012540,3250.0,0.0,,toys,2026-02-11 06:43:50.992421222,delivered,1,2026-02-12 06:43:50.992421222,False,False,,,,False,,,False,,,,,
ORD0000001,A000001,D018691,ADDR005186,70a18913079338fa,PI017095,2280.0,0.0,,toys,2026-01-14 07:50:26.204310635,delivered,1,2026-01-15 07:50:26.204310635,False,False,,,,False,,,False,,,,,
ORD0000002,A000001,D018691,ADDR005186,70a18913079338fa,PI017095,1660.0,0.0,,grocery,2026-01-14 08:55:23.062196839,delivered,1,2026-01-16 08:55:23.062196839,False,False,,,,False,,,False,,,,,
ORD0000003,A000001,D018691,ADDR005186,70a18913079338fa,PI017095,3500.0,0.0,,toys,2026-01-14 10:44:42.739121326,delivered,1,2026-01-15 10:44:42.739121326,False,False,,,,False,,,False,,,,,
ORD0000004,A000001,D018691,ADDR005186,70a18913079338fa,PI017095,1890.0,0.0,,books,2026-02-03 00:30:05.288410880,delivered,1,2026-02-04 00:30:05.288410880,False,False,,,,False,,,False,,,,,
ORD0000005,A000001,D018691,ADDR005186,70a18913079338fa,PI017095,2290.0,0.0,,grocery,2026-02-05 19:26:46.606537124,delivered,1,2026-02-06 19:26:46.606537124,False,False,,,,False,,,False,,,,,
ORD0000006,A000003,D009440,ADDR017381,c0bcc9bdcfd42638,PI000739,24000.0,0.0,,electronics,2026-01-17 13:46:56.973572601,delivered,1,2026-01-20 13:46:56.973572601,False,True,changed_mind,2026-01-22 13:46:56.973572601,48.0,True,24000.0,2026-01-23 08:46:56.973572601,False,,,,,
ORD0000007,A000005,D007722,ADDR002140,bfbf55ba8e5f02c2,PI010249,10770.0,0.0,,home,2026-02-05 14:15:02.677562293,delivered,1,2026-02-07 14:15:02.677562293,False,False,,,,False,,,False,,,,,
ORD0000008,A000005,D007722,ADDR002140,bfbf55ba8e5f02c2,PI010249,24000.0,0.0,,electronics,2026-02-07 06:30:39.869386354,delivered,1,2026-02-10 06:30:39.869386354,False,False,,,,False,,,False,,,,,
ORD0000009,A000005,D007722,ADDR002140,bfbf55ba8e5f02c2,PI010249,2620.0,0.0,,grocery,2026-02-07 21:54:22.154843437,delivered,1,2026-02-08 21:54:22.154843437,False,False,,,,False,,,False,,,,,
