timestamp,account_id,model_version,proba,rank,risk_tier,top_k_flag,action_recommended,case_report_generated,investigation_source,tool_calls,summary,action_source
2026-08-27 13:52:20.445196,A024157,LightGBM_Model_B,0.9999997342620272,1.0,CRITICAL,True,CRITICAL: recommend human review + soft-hold refunds,True,,,,
2026-08-27 13:52:20.445196,A024117,LightGBM_Model_B,0.9999997342221728,2.0,CRITICAL,True,CRITICAL: recommend human review + soft-hold refunds,True,,,,
2026-08-27 13:52:20.445196,A024288,LightGBM_Model_B,0.9999997340660012,3.0,CRITICAL,True,CRITICAL: recommend human review + soft-hold refunds,True,,,,
2026-08-27 13:52:20.445196,A024159,LightGBM_Model_B,0.9999997340345502,4.0,CRITICAL,True,CRITICAL: recommend human review + soft-hold refunds,True,,,,
2026-08-27 13:52:20.445196,A024152,LightGBM_Model_B,0.9999997339707823,5.0,CRITICAL,True,CRITICAL: recommend human review + soft-hold refunds,True,,,,
2026-08-27 13:52:20.445196,A024158,LightGBM_Model_B,0.9999997339652156,6.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A025123,LightGBM_Model_B,0.9999997338641962,7.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024055,LightGBM_Model_B,0.9999997338586456,8.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024290,LightGBM_Model_B,0.9999997337770086,9.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024292,LightGBM_Model_B,0.999999733776986,10.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024053,LightGBM_Model_B,0.9999997337538392,11.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024295,LightGBM_Model_B,0.9999997337498476,12.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024183,LightGBM_Model_B,0.9999997337452186,13.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A025126,LightGBM_Model_B,0.999999733738215,14.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A025395,LightGBM_Model_B,0.9999997337245724,15.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A025398,LightGBM_Model_B,0.9999997337245652,16.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A025440,LightGBM_Model_B,0.9999997337245649,17.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024050,LightGBM_Model_B,0.999999733721094,18.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024181,LightGBM_Model_B,0.9999997337183978,19.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024177,LightGBM_Model_B,0.9999997337183272,20.0,HIGH,True,HIGH: recommend human review,True,,,,
2026-08-27 13:52:20.445196,A024156,LightGBM_Model_B,0.999999733718263,21.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024094,LightGBM_Model_B,0.999999733712958,22.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024182,LightGBM_Model_B,0.999999733712718,23.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024176,LightGBM_Model_B,0.9999997337126622,24.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024093,LightGBM_Model_B,0.9999997337093096,25.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024092,LightGBM_Model_B,0.9999997337091654,26.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
2026-08-27 13:52:20.445196,A024088,LightGBM_Model_B,0.9999997337091108,27.0,MEDIUM,True,MEDIUM: recommend step-up verification on refund,True,,,,
