order_id,account_id,device_id,address_id,phone_hash,instrument_id,amount,discount_amount,coupon_code,category,order_timestamp,delivery_status,delivery_attempts,delivery_timestamp,rto_flag,return_flag,return_reason_code,return_timestamp,return_lag_hours,refund_flag,refund_amount,refund_timestamp,dispute_flag,dispute_phase,dispute_reason_code,dispute_reason_category,evidence_availability,dispute_created_at
ORD0000000,A000000,D024587,ADDR006669,2519f5ac26b25699,PI039469,1800.0,0.0,,toys,2026-01-31 19:32:09,delivered,2,2026-02-03 19:32:09,False,False,,,,False,,,False,,,,,
ORD0000001,A000000,D024587,ADDR003894,2519f5ac26b25699,PI039469,17450.0,0.0,,electronics,2026-02-03 20:57:38,delivered,3,2026-02-07 20:57:38,False,False,,,,False,,,False,,,,,
ORD0000002,A000001,D002499,ADDR013372,caa0c03565663777,PI010596,4600.0,0.0,,fashion,2026-02-27 19:29:44,delivered,2,2026-03-01 19:29:44,False,False,,,,False,,,False,,,,,
ORD0000003,A000001,D002499,ADDR013372,caa0c03565663777,PI010596,2800.0,0.0,,fashion,2026-02-17 12:56:21,delivered,3,2026-02-18 12:56:21,False,False,,,,False,,,False,,,,,
ORD0000004,A000001,D002499,ADDR007628,caa0c03565663777,PI010596,4020.0,356.77,,fashion,2026-02-18 01:02:05,delivered,1,2026-02-22 01:02:05,False,False,,,,False,,,False,,,,,
ORD0000005,A000003,D029659,ADDR000260,212310f48741b730,PI000013,5020.0,0.0,,home,2026-02-12 03:23:42,delivered,3,2026-02-15 03:23:42,False,False,,,,False,,,False,,,,,
ORD0000006,A000003,D031384,ADDR000260,212310f48741b730,PI000013,930.0,0.0,,fashion,2026-02-13 14:23:19,delivered,3,2026-02-17 14:23:19,False,False,,,,False,,,False,,,,,
ORD0000007,A000003,D031384,ADDR000260,212310f48741b730,PI000013,17400.0,0.0,,electronics,2026-01-30 07:04:47,delivered,1,2026-02-01 07:04:47,False,False,,,,False,,,False,,,,,
ORD0000008,A000003,D029659,ADDR000260,212310f48741b730,PI000013,6490.0,0.0,,home,2026-02-09 19:21:06,delivered,1,2026-02-11 19:21:06,False,False,,,,False,,,False,,,,,
ORD0000009,A000004,D019008,ADDR003923,27cf5d2cb795cb81,PI040794,1110.0,0.0,,grocery,2026-01-31 07:54:30,delivered,1,2026-02-02 07:54:30,False,False,,,,False,,,False,,,,,
ORD0000010,A000004,D019008,ADDR003285,27cf5d2cb795cb81,PI040794,4200.0,537.08,,home,2026-02-25 13:21:53,delivered,3,2026-02-27 13:21:53,False,False,,,,False,,,False,,,,,
ORD0000011,A000005,D029518,ADDR016019,2673a6d489a75fa0,PI011219,4450.0,0.0,,home,2026-02-23 16:55:30,delivered,1,2026-02-26 16:55:30,False,False,,,,False,,,False,,,,,
ORD0000012,A000005,D029518,ADDR006384,2673a6d489a75fa0,PI011219,13700.0,0.0,,electronics,2026-01-26 13:40:34,delivered,2,2026-01-27 13:40:34,False,False,,,,False,,,False,,,,,
ORD0000013,A000006,D008756,ADDR005482,c47998a26628c404,PI006777,1960.0,0.0,,toys,2026-01-26 03:25:38,delivered,1,2026-01-28 03:25:38,False,False,,,,False,,,False,,,,,
ORD0000014,A000006,D008756,ADDR001436,c47998a26628c404,PI008811,1060.0,0.0,,toys,2026-02-11 08:30:18,delivered,3,2026-02-14 08:30:18,False,False,,,,False,,,False,,,,,
ORD0000015,A000008,D012828,ADDR005104,7388f8ab8d4091de,PI032427,15840.0,1156.66,,electronics,2026-02-26 18:35:53,delivered,2,2026-02-27 18:35:53,False,False,,,,False,,,False,,,,,
ORD0000016,A000008,D012828,ADDR005104,7388f8ab8d4091de,PI018087,1690.0,0.0,,books,2026-02-03 22:15:40,failed,2,,True,False,,,,False,,,False,,,,,
ORD0000017,A000009,D004221,ADDR006765,a19f47c2774196b8,PI017296,6920.0,705.05,,home,2026-02-24 15:09:28,delivered,1,2026-02-28 15:09:28,False,False,,,,False,,,False,,,,,
ORD0000018,A000011,D026776,ADDR015755,64add8fb13efd7fd,PI026313,3170.0,317.23,,home,2026-01-22 06:59:37,delivered,1,2026-01-26 06:59:37,False,False,,,,False,,,False,,,,,
ORD0000019,A000011,D026776,ADDR015755,64add8fb13efd7fd,PI026313,1920.0,0.0,,home,2026-01-22 05:28:12,delivered,3,2026-01-26 05:28:12,False,False,,,,False,,,False,,,,,
ORD0000020,A000011,D020733,ADDR010562,64add8fb13efd7fd,PI026313,560.0,0.0,,books,2026-01-29 10:43:23,delivered,1,2026-02-02 10:43:23,False,False,,,,False,,,False,,,,,
ORD0000021,A000011,D026776,ADDR015755,64add8fb13efd7fd,PI026313,4700.0,0.0,,fashion,2026-02-06 07:42:34,delivered,2,2026-02-09 07:42:34,False,False,,,,False,,,False,,,,,
ORD0000022,A000012,D033702,ADDR007797,158a72cf8cc46037,PI025758,1080.0,140.87,,toys,2026-02-09 04:28:12,delivered,2,2026-02-12 04:28:12,False,False,,,,False,,,False,,,,,
ORD0000023,A000013,D013387,ADDR011251,3ee3a8974a06bb3e,PI027957,1280.0,122.1,,fashion,2026-02-07 02:20:03,delivered,1,2026-02-10 02:20:03,False,False,,,,False,,,False,,,,,
ORD0000024,A000013,D013387,ADDR004059,3ee3a8974a06bb3e,PI018768,16700.0,0.0,,electronics,2026-02-23 10:19:28,delivered,1,2026-02-25 10:19:28,False,False,,,,False,,,False,,,,,
ORD0000025,A000013,D013387,ADDR004059,3ee3a8974a06bb3e,PI027957,18480.0,0.0,,electronics,2026-02-04 20:42:10,delivered,2,2026-02-08 20:42:10,False,False,,,,False,,,False,,,,,
